0.0.0.0	0.255.255.255	IANA 保留地址
1.0.0.0	1.0.0.255	澳大利亚 亚太互联网络信息中心
1.0.1.0	1.0.3.255	福建省 电信
1.0.4.0	1.0.7.255	澳大利亚 墨尔本Goldenit有限公司
1.0.8.0	1.0.15.255	广东省 电信
1.0.16.0		1.0.31.255	日本 东京I2Ts Inc
1.0.32.0		1.0.63.255	广东省 电信
1.0.64.0		1.0.127.255	日本 広島県中区大手町Energia通信公司
1.0.128.0	1.0.255.255	泰国 CZ88.NET
1.1.0.0	1.1.0.255	福建省 电信
1.1.1.0	1.1.1.0	澳大利亚 谷歌公司AS55698-APNIC-LABS印尼网络(Research prefix for APNIC Labs专用)
1.1.1.1	1.1.1.1	澳大利亚 亚太互联网络信息中心
1.1.1.2	1.1.1.255	澳大利亚 谷歌公司AS55698-APNIC-LABS印尼网络(Research prefix for APNIC Labs专用)
1.1.2.0	1.1.7.255	福建省 电信
1.1.8.0	1.1.63.255	广东省 电信
1.1.64.0	1.1.127.255	日本 东京都新宿区歌舞伎町i2ts公司
1.1.128.0	1.1.255.255	泰国 沙空那空TOT公共有限公司
1.2.0.0	1.2.1.255	福建省 电信
1.2.2.0	1.2.2.255	北京市海淀区 北龙中网(北京)科技有限公司
1.2.3.0	1.2.3.255	澳大利亚 CZ88.NET
1.2.4.0	1.2.4.7	北京市 中国互联网络信息中心
1.2.4.8	1.2.4.8	北京市 中国互联网络信息中心SecureDNS服务器
1.2.4.9	1.2.4.255	北京市 中国互联网络信息中心
1.2.5.0	1.2.7.255	福建省 电信
1.2.8.0	1.2.8.255	中国 网络信息中心
1.2.9.0	1.2.127.255	广东省 电信
1.2.128.0	1.2.255.255	泰国 CZ88.NET
1.3.0.0	1.3.255.255	广东省 电信
1.4.0.0	1.4.0.255	澳大利亚 CZ88.NET
1.4.1.0	1.4.3.255	福建省 电信
1.4.4.0	1.4.4.255	北京市海淀区 北龙中网(北京)科技有限公司
1.4.5.0	1.4.7.255	福建省 电信
1.4.8.0	1.4.127.255	广东省 电信
